Date,Car_ID,System_Affected,Units,Model
"Friday, January 18, 2019",87110,Visual System,7252,Beaufort
"Wednesday, March 13, 2019",99110,Lights And Instruments,12528,Salish
"Friday, May 10, 2019",132120,Visual System,2493,Labrador
"Friday, May 24, 2019",147160,Fuel Supply,4048,Champlain
"Sunday, July 28, 2019",26151,Fuel Supply,402,Hudson
"Friday, August 2, 2019",87110,Visual System,6798,Beaufort
"Sunday, August 25, 2019",99110,Powertrain,7637,Salish
"Friday, November 29, 2019",132120,Tires,6968,Labrador
"Friday, December 27, 2019",147160,Tires,12623,Champlain
"Saturday, January 18, 2020",26151,Visual System,8572,Hudson
"Saturday, February 1, 2020",87110,Visual System,4357,Beaufort
"Saturday, February 1, 2020",99110,Engine,3300,Salish
"Thursday, February 27, 2020",132120,Tires,13499,Labrador
"Saturday, March 7, 2020",147160,Engine,6051,Champlain
"Sunday, March 15, 2020",26151,Other,11897,Hudson
"Wednesday, March 25, 2020",87110,Seats And Restraints,3396,Beaufort
"Thursday, April 16, 2020",99110,Steering,5044,Salish
"Friday, April 17, 2020",132120,Engine,14190,Labrador
"Wednesday, April 22, 2020",147160,Airbag,9866,Champlain
"Friday, April 24, 2020",26151,Fuel Supply,8175,Hudson
"Saturday, May 2, 2020",87110,Electrical,13874,Beaufort
"Sunday, May 17, 2020",99110,Steering,14022,Salish
"Thursday, May 28, 2020",132120,Steering,8868,Labrador
"Wednesday, June 10, 2020",147160,Tires,8240,Champlain
"Sunday, June 28, 2020",26151,Visual System,8546,Hudson
"Friday, July 10, 2020",87110,Engine,10676,Beaufort
"Saturday, July 25, 2020",99110,Powertrain,1179,Salish
"Tuesday, August 11, 2020",132120,Suspension,811,Labrador
"Sunday, August 16, 2020",147160,Other,14346,Champlain
"Tuesday, August 25, 2020",26151,Tires,11213,Hudson
"Monday, September 21, 2020",87110,Airbag,13899,Beaufort
"Tuesday, October 13, 2020",99110,Lights And Instruments,14918,Salish
"Saturday, October 31, 2020",132120,Electrical,6358,Labrador
"Tuesday, December 8, 2020",147160,Suspension,12978,Champlain
"Tuesday, December 22, 2020",26151,Engine,4019,Hudson
"Thursday, December 24, 2020",87110,Powertrain,1905,Beaufort
"Friday, December 25, 2020",99110,Tires,1337,Salish
"Wednesday, January 6, 2021",132120,Visual System,14300,Labrador
"Sunday, January 17, 2021",147160,Powertrain,6428,Champlain
"Monday, March 8, 2021",26151,Suspension,4476,Hudson
"Monday, March 15, 2021",87110,Powertrain,14339,Beaufort
"Tuesday, April 13, 2021",99110,Tires,6483,Salish
"Thursday, May 13, 2021",132120,Seats And Restraints,13190,Labrador
"Monday, May 31, 2021",147160,Engine,1621,Champlain
"Thursday, June 10, 2021",26151,Airbag,3459,Hudson
"Thursday, July 1, 2021",87110,Engine,10104,Beaufort
"Tuesday, July 6, 2021",99110,Powertrain,12019,Salish
"Saturday, July 24, 2021",132120,Steering,4978,Labrador
"Wednesday, August 4, 2021",147160,Seats And Restraints,2624,Champlain
"Tuesday, August 10, 2021",26151,Electrical,2932,Hudson
"Wednesday, August 11, 2021",87110,Suspension,12910,Beaufort
"Saturday, August 14, 2021",99110,Structure,8288,Salish
"Sunday, September 12, 2021",132120,Electrical,4099,Labrador
"Friday, September 17, 2021",147160,Powertrain,14882,Champlain
"Tuesday, September 21, 2021",26151,Seats And Restraints,10097,Hudson
"Tuesday, September 21, 2021",87110,Fuel Supply,11593,Beaufort
"Friday, October 1, 2021",99110,Airbag,7808,Salish
"Tuesday, October 5, 2021",132120,Tires,9790,Labrador
"Wednesday, October 6, 2021",147160,Visual System,7517,Champlain
"Monday, October 11, 2021",26151,Airbag,8432,Hudson
"Tuesday, October 12, 2021",87110,Airbag,7450,Beaufort
"Monday, October 18, 2021",99110,Seats And Restraints,14208,Salish
"Monday, October 18, 2021",132120,Airbag,390,Labrador
"Friday, November 5, 2021",147160,Powertrain,75,Champlain
"Monday, November 15, 2021",26151,Airbag,7099,Hudson
"Saturday, November 27, 2021",87110,Airbag,10476,Beaufort
"Tuesday, November 30, 2021",99110,Tires,5401,Salish
"Saturday, December 18, 2021",132120,Suspension,14718,Labrador
"Sunday, December 19, 2021",147160,Steering,12482,Champlain
"Friday, December 24, 2021",26151,Seats And Restraints,10784,Hudson
"Monday, January 3, 2022",87110,Brakes,10197,Beaufort
"Friday, January 14, 2022",99110,Other,2008,Salish
"Thursday, January 27, 2022",132120,Lights And Instruments,3054,Labrador
"Friday, January 28, 2022",147160,Visual System,5361,Champlain
"Tuesday, February 8, 2022",26151,Engine,12752,Hudson
"Tuesday, February 15, 2022",87110,Other,12814,Beaufort
"Wednesday, February 16, 2022",99110,Tires,2313,Salish
"Friday, February 18, 2022",132120,Fuel Supply,9683,Labrador
"Saturday, February 19, 2022",147160,Seats And Restraints,8803,Champlain
"Friday, February 25, 2022",26151,Airbag,7672,Hudson
"Tuesday, March 8, 2022",87110,Lights And Instruments,13322,Beaufort
"Thursday, March 10, 2022",99110,Airbag,3112,Salish
"Tuesday, March 15, 2022",132120,Airbag,3506,Labrador
"Friday, March 18, 2022",147160,Suspension,11834,Champlain
"Saturday, March 19, 2022",26151,Steering,2051,Hudson
"Sunday, March 20, 2022",87110,Airbag,8436,Beaufort
"Tuesday, March 22, 2022",99110,Structure,1381,Salish
"Friday, March 25, 2022",132120,Engine,8291,Labrador
"Tuesday, April 5, 2022",147160,Visual System,449,Champlain
"Friday, April 8, 2022",26151,Other,12476,Hudson
"Saturday, April 9, 2022",87110,Airbag,2103,Beaufort
"Thursday, April 14, 2022",99110,Airbag,4012,Salish
"Monday, April 18, 2022",132120,Airbag,14179,Labrador
"Tuesday, April 19, 2022",147160,Seats And Restraints,14096,Champlain
"Wednesday, April 27, 2022",26151,Powertrain,4854,Hudson
