Postal Code,Date,Sentiment,Year
80120,12/31/2023,Positive,2023
80211,12/31/2023,Negative,2023
80221,12/31/2023,Positive,2023
80238,12/31/2023,Positive,2023
80204,12/31/2023,Positive,2023
80211,12/31/2023,Positive,2023
80204,12/31/2023,Negative,2023
80016,12/31/2023,Positive,2023
80238,12/31/2023,Positive,2023
80238,12/31/2023,Negative,2023
80002,12/31/2023,Positive,2023
80211,12/31/2023,Negative,2023
80234,12/31/2023,Positive,2023
80221,12/31/2023,Neutral,2023
80221,12/31/2023,Negative,2023
80002,12/31/2023,Positive,2023
80120,12/31/2023,Negative,2023
80120,12/31/2023,Positive,2023
80002,12/31/2023,Positive,2023
80016,12/31/2023,Neutral,2023
80219,12/31/2023,Positive,2023
80238,12/31/2023,Neutral,2023
80238,12/31/2023,Neutral,2023
80211,12/31/2023,Positive,2023
80204,12/31/2023,Positive,2023
80016,12/31/2023,Positive,2023
80014,12/31/2023,Positive,2023
80211,12/31/2023,Positive,2023
80234,12/31/2023,Negative,2023
80002,12/31/2023,Positive,2023
80234,12/31/2023,Positive,2023
80016,12/31/2023,Positive,2023
80234,12/31/2023,Positive,2023
80234,12/31/2023,Negative,2023
80219,12/31/2023,Positive,2023
80002,12/31/2023,Negative,2023
80016,12/31/2023,Negative,2023
80234,12/31/2023,Negative,2023
80016,12/31/2023,Neutral,2023
80016,12/31/2023,Negative,2023
80211,12/31/2023,Negative,2023
80002,12/31/2023,Positive,2023
80234,12/31/2023,Positive,2023
80204,12/31/2023,Positive,2023
80219,12/31/2023,Negative,2023
80002,12/31/2023,Neutral,2023
80221,12/31/2023,Positive,2023
80238,12/31/2023,Positive,2023
80221,12/31/2023,Negative,2023
80120,12/31/2023,Neutral,2023
80211,12/31/2023,Positive,2023
80219,12/31/2023,Positive,2023
80204,12/31/2023,Neutral,2023
80016,12/31/2023,Positive,2023
80002,12/31/2023,Neutral,2023
80238,12/31/2023,Negative,2023
80014,12/31/2023,Positive,2023
80016,12/31/2023,Positive,2023
80238,12/31/2023,Neutral,2023
80211,12/31/2023,Neutral,2023
80016,12/31/2023,Neutral,2023
80234,12/30/2023,Neutral,2023
80014,12/30/2023,Positive,2023
80002,12/30/2023,Positive,2023
80234,12/30/2023,Positive,2023
80120,12/30/2023,Positive,2023
80204,12/30/2023,Neutral,2023
80002,12/30/2023,Negative,2023
80234,12/30/2023,Positive,2023
80016,12/30/2023,Negative,2023
80238,12/30/2023,Positive,2023
80016,12/30/2023,Neutral,2023
80002,12/30/2023,Negative,2023
80238,12/30/2023,Negative,2023
80234,12/30/2023,Positive,2023
80204,12/30/2023,Positive,2023
80238,12/30/2023,Positive,2023
80204,12/30/2023,Positive,2023
80120,12/30/2023,Positive,2023
80120,12/30/2023,Positive,2023
80211,12/30/2023,Positive,2023
80014,12/30/2023,Negative,2023
80221,12/30/2023,Negative,2023
80234,12/30/2023,Positive,2023
80014,12/30/2023,Positive,2023
80120,12/30/2023,Positive,2023
80234,12/30/2023,Negative,2023
80120,12/30/2023,Negative,2023
80238,12/30/2023,Neutral,2023
80219,12/30/2023,Positive,2023
80211,12/30/2023,Positive,2023
80204,12/30/2023,Negative,2023
80204,12/30/2023,Positive,2023
80002,12/30/2023,Positive,2023
80238,12/30/2023,Neutral,2023
80016,12/30/2023,Negative,2023
80002,12/30/2023,Negative,2023
80234,12/30/2023,Negative,2023
80221,12/30/2023,Positive,2023
80016,12/30/2023,Neutral,2023
80221,12/30/2023,Positive,2023
80120,12/30/2023,Positive,2023
80002,12/30/2023,Negative,2023
80221,12/30/2023,Positive,2023
80211,12/30/2023,Positive,2023
80219,12/30/2023,Neutral,2023
80221,12/30/2023,Positive,2023
80221,12/30/2023,Neutral,2023
80238,12/30/2023,Negative,2023
80221,12/30/2023,Positive,2023
80219,12/30/2023,Positive,2023
80238,12/30/2023,Neutral,2023
80234,12/30/2023,Positive,2023
80211,12/30/2023,Positive,2023
80016,12/30/2023,Positive,2023
80219,12/30/2023,Positive,2023
80211,12/30/2023,Positive,2023
80120,12/30/2023,Neutral,2023
80204,12/30/2023,Positive,2023
80238,12/29/2023,Negative,2023
80234,12/29/2023,Positive,2023
80002,12/29/2023,Positive,2023
80014,12/29/2023,Positive,2023
80234,12/29/2023,Positive,2023
80221,12/29/2023,Positive,2023
80219,12/29/2023,Positive,2023
80120,12/29/2023,Positive,2023
80234,12/29/2023,Negative,2023
80238,12/29/2023,Negative,2023
80211,12/29/2023,Neutral,2023
80016,12/29/2023,Positive,2023
80014,12/29/2023,Positive,2023
80016,12/29/2023,Positive,2023
80014,12/29/2023,Positive,2023
80014,12/29/2023,Neutral,2023
80014,12/29/2023,Neutral,2023
80211,12/29/2023,Positive,2023
80238,12/29/2023,Negative,2023
80204,12/29/2023,Positive,2023
80238,12/29/2023,Neutral,2023
80204,12/29/2023,Positive,2023
80221,12/29/2023,Neutral,2023
80016,12/29/2023,Positive,2023
80211,12/29/2023,Positive,2023
80014,12/29/2023,Positive,2023
80014,12/29/2023,Positive,2023
80016,12/29/2023,Positive,2023
80234,12/29/2023,Positive,2023
80238,12/29/2023,Neutral,2023
80221,12/29/2023,Positive,2023
80211,12/29/2023,Positive,2023
80211,12/29/2023,Positive,2023
80234,12/29/2023,Positive,2023
80211,12/29/2023,Positive,2023
80002,12/29/2023,Positive,2023
80211,12/29/2023,Positive,2023
80219,12/29/2023,Positive,2023
80211,12/29/2023,Positive,2023
80204,12/29/2023,Positive,2023
80014,12/29/2023,Negative,2023
80221,12/29/2023,Positive,2023
80238,12/29/2023,Positive,2023
80221,12/29/2023,Positive,2023
80016,12/29/2023,Positive,2023
80002,12/29/2023,Negative,2023
80211,12/29/2023,Positive,2023
80002,12/29/2023,Neutral,2023
80002,12/29/2023,Positive,2023
80238,12/29/2023,Positive,2023
80016,12/29/2023,Positive,2023
80234,12/29/2023,Neutral,2023
80219,12/29/2023,Negative,2023
80211,12/29/2023,Neutral,2023
80238,12/29/2023,Neutral,2023
80234,12/29/2023,Positive,2023
80211,12/28/2023,Positive,2023
80120,12/28/2023,Positive,2023
80204,12/28/2023,Positive,2023
80120,12/28/2023,Negative,2023
80120,12/28/2023,Positive,2023
80014,12/28/2023,Neutral,2023
80238,12/28/2023,Positive,2023
80120,12/28/2023,Positive,2023
80120,12/28/2023,Negative,2023
80204,12/28/2023,Positive,2023
80219,12/28/2023,Positive,2023
80002,12/28/2023,Negative,2023
80219,12/28/2023,Positive,2023
80120,12/28/2023,Negative,2023
80238,12/28/2023,Positive,2023
80234,12/28/2023,Positive,2023
80014,12/28/2023,Negative,2023
80234,12/28/2023,Positive,2023
80204,12/28/2023,Neutral,2023
80014,12/28/2023,Negative,2023
80234,12/28/2023,Positive,2023
80204,12/28/2023,Positive,2023
80204,12/28/2023,Negative,2023
80219,12/28/2023,Positive,2023
80016,12/28/2023,Positive,2023
80014,12/28/2023,Positive,2023
80120,12/28/2023,Positive,2023
80211,12/28/2023,Neutral,2023
80211,12/28/2023,Neutral,2023
80014,12/28/2023,Neutral,2023
80002,12/28/2023,Positive,2023
80120,12/28/2023,Positive,2023
80238,12/28/2023,Neutral,2023
80002,12/28/2023,Neutral,2023
80204,12/28/2023,Neutral,2023
80002,12/28/2023,Positive,2023
80234,12/28/2023,Positive,2023
80014,12/28/2023,Positive,2023
80016,12/28/2023,Negative,2023
80204,12/28/2023,Positive,2023
80238,12/28/2023,Positive,2023
80221,12/28/2023,Positive,2023
80219,12/28/2023,Neutral,2023
80204,12/28/2023,Negative,2023
80238,12/28/2023,Positive,2023
80234,12/28/2023,Positive,2023
80120,12/28/2023,Positive,2023
80238,12/28/2023,Negative,2023
80238,12/28/2023,Negative,2023
80204,12/28/2023,Positive,2023
80219,12/28/2023,Neutral,2023
80234,12/28/2023,Positive,2023
80211,12/28/2023,Neutral,2023
80211,12/28/2023,Positive,2023
80120,12/28/2023,Neutral,2023
80014,12/27/2023,Positive,2023
80002,12/27/2023,Positive,2023
80219,12/27/2023,Positive,2023
