id,text
1,When in Rome do as the Romans do.
2,Do not judge a book by its cover.
3,Actions speak louder than words.
4,A picture is worth a thousand words.
5,If at first you do not succeed try try again.
6,Practice makes perfect.
7,An apple a day keeps the doctor away.
8,When the going gets tough the tough get going.
9,All is fair in love and war.
10,Too many cooks spoil the broth.
11,You can not make an omelette without breaking eggs.
12,The early bird catches the worm.
13,Better late than never.
14,Honesty is the best policy.
15,A penny saved is a penny earned.
16,Two wrongs do not make a right.
17,The grass is always greener on the other side of the fence.
18,Do not count your chickens before they're hatched.
19,Laughter is the best medicine.
20,Rome wasn't built in a day.
21,The squeaky wheel gets the grease.
